,straat,huisnr,adres,vergunning,vergund tot
0,2e Vijverstraat,158,2e Vijverstraat 158,nachthoreca,2024-10-08
1,Fairoaksbaan,7,Fairoaksbaan 7,alcoholvergunning,2027-01-29
2,Hogenbanweg,85,Hogenbanweg 85,terrasvergunning,2022-08-01
3,Botterstraat,172,Botterstraat 172,nachthoreca,2024-05-30
4,Noordschans,22,Noordschans 22,nachthoreca,2023-10-08
5,Vlashagen,36,Vlashagen 36,exploitatievergunning,2027-03-14
6,Kreeksehaven,96,Kreeksehaven 96,exploitatievergunning,2026-09-20
7,Jasmijnstraat,89,Jasmijnstraat 89,exploitatievergunning,2025-02-28
8,Starstraat,39,Starstraat 39,exploitatievergunning,2026-08-23
9,Lepelaarsingel,97,Lepelaarsingel 97,terrasvergunning,2025-04-27
10,Rodezandhof,14,Rodezandhof 14,omgevingsvergunning,2024-04-11
11,Zwijnsbergenweg,38,Zwijnsbergenweg 38,exploitatievergunning,2023-07-29
12,Karakterplein,79,Karakterplein 79,nachthoreca,2024-10-19
13,Abram van Rijckevorselweg,63,Abram van Rijckevorselweg 63,omgevingsvergunning,2025-07-23
14,Voorwateringweg,56,Voorwateringweg 56,omgevingsvergunning,2027-03-10
15,Sapphostraat,184,Sapphostraat 184,omgevingsvergunning,2026-02-13
16,Alberdingk Thijmstraat,117,Alberdingk Thijmstraat 117,alcoholvergunning,2025-05-12
17,Bareveld,199,Bareveld 199,nachthoreca,2023-07-29
18,Groningerstraat,28,Groningerstraat 28,terrasvergunning,2022-12-21
19,Calandstraat,9,Calandstraat 9,nachthoreca,2024-04-27
20,Moutersteeg,148,Moutersteeg 148,nachthoreca,2025-09-10
21,Van Swietenlaan,21,Van Swietenlaan 21,exploitatievergunning,2024-05-20
22,Veeluststraat,27,Veeluststraat 27,omgevingsvergunning,2024-08-19
23,Blekerslaan,178,Blekerslaan 178,nachthoreca,2023-03-03
24,H.A. Maaskantstraat,128,H.A. Maaskantstraat 128,nachthoreca,2025-12-24
25,Adrianalaan,109,Adrianalaan 109,omgevingsvergunning,2024-11-14
26,Spinbollaan,73,Spinbollaan 73,exploitatievergunning,2025-06-02
27,Lombardkade,82,Lombardkade 82,terrasvergunning,2026-10-27
28,Gaastmeer,34,Gaastmeer 34,terrasvergunning,2024-06-21
29,Marnixdwarsstraat,142,Marnixdwarsstraat 142,alcoholvergunning,2024-01-14
30,Kethelsekade,22,Kethelsekade 22,omgevingsvergunning,2025-07-15
31,S. van Ravesteynkade,63,S. van Ravesteynkade 63,alcoholvergunning,2025-12-20
32,Wateroord,16,Wateroord 16,terrasvergunning,2025-09-13
33,Van Moorselplaats,132,Van Moorselplaats 132,nachthoreca,2024-05-24
34,Waarderstraat,5,Waarderstraat 5,nachthoreca,2026-11-10
35,Bentinckplein,102,Bentinckplein 102,alcoholvergunning,2025-04-16
36,Suze Groeneweglaan,129,Suze Groeneweglaan 129,terrasvergunning,2026-05-11
37,Spoorweghaven,152,Spoorweghaven 152,omgevingsvergunning,2025-02-12
38,2e Jerichostraat,36,2e Jerichostraat 36,exploitatievergunning,2024-07-24
39,Tulpenoord,59,Tulpenoord 59,nachthoreca,2024-01-23
40,Lloydkade,190,Lloydkade 190,alcoholvergunning,2026-12-11
41,Quarantaineweg,67,Quarantaineweg 67,alcoholvergunning,2024-11-15
42,Polderlaan,101,Polderlaan 101,terrasvergunning,2023-07-28
